outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,sample,sample_order
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa3,SA3,2,sydney,estimated,-0.28467828219955,0.047528327591628,0.000000447574176608877,-0.255881167475799,0.0461508046694346,0.00000191939193299734,0.0287971147237502,-10.1156696960692,-0.00137752292219334,0.958016475501695,158324,Greater Sydney,2
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa4,SA4,3,sydney,estimated,-0.390769705230976,0.0522751248776143,0.000000327095081038911,-0.364356725990243,0.0539515936582083,0.00000143669017931881,0.0264129792407335,-6.75921876418779,0.00167646878059399,0.870273488009999,158324,Greater Sydney,2
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,sydney,estimated,-0.304520804582445,0.00223018054858872,0,-0.23911841780134,0.0019115498304378,0,0.0654023867811056,-21.477148949079,-0.000318630718150923,,47859,Greater Sydney,2
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,sydney,estimated,-0.20894175606521,0.0628477996119848,0.00190337853981334,-0.113093565594055,0.00863795028294249,0.000000000000000478355245164261,0.0958481904711555,-45.8731621080286,-0.0542098493290423,0.79424118252375,47858,Greater Sydney,2
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,sydney,estimated,-0.292158974898771,0.0231690717789565,0.0000000000563416212829974,-0.168618994197125,0.0395246615839612,0.000377559201542686,0.123539980701646,-42.2851910486238,0.0163555898050046,0.676528253107124,47858,Greater Sydney,2
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,none,No FE,1,high_clustering,estimated,-0.305069454956052,0.00179250072426313,0,-0.307671884489168,0.00181521097141995,0,-0.00260242953311618,0.853061324507598,0.0000227102471568133,,73167,High clustering,3
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa3,SA3,2,high_clustering,estimated,-0.266167893050787,0.129152955062625,0.0456966588592839,-0.198508191178681,0.104356885716681,0.0641850645211529,0.0676597018721054,-25.419933672915,-0.024796069345944,0.986290591892391,73167,High clustering,3
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa4,SA4,3,high_clustering,estimated,-0.344748394542295,0.0556272029437895,0.00000125943598544016,-0.3002738146625,0.0624777087420658,0.0000512888354603124,0.0444745798797955,-12.9005908610081,0.00685050579827638,0.937795466740775,73167,High clustering,3
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,high_clustering,estimated,-0.190400252670692,0.00300845910553808,0,-0.155587425214391,0.00249266918696362,0,0.0348128274563013,-18.2840237699223,-0.00051578991857446,,15525,High clustering,3
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,high_clustering,estimated,-0.200394171117194,0.0608583901523102,0.00208024277907626,-0.0527658347734358,0.0153801933761537,0.00141052067490284,0.147628336343758,-73.6689772565403,-0.0454781967761566,0.926414579806639,15523,High clustering,3
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,high_clustering,estimated,-0.249001232719881,0.0336709870064857,0.0000000590921070145835,-0.116738208230029,0.0133271680614649,0.00000000224610660767273,0.132263024489852,-53.1174175505565,-0.0203438189450208,0.759452050525938,15525,High clustering,3
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,none,No FE,1,high_irregularity,estimated,-0.324183640853615,0.00175641755133457,0,-0.3281787540512,0.00177245192486273,0,-0.00399511319758528,1.23236113551741,0.0000160343735281585,,75029,Most irregular,4
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa3,SA3,2,high_irregularity,estimated,-0.318522700622961,0.114186163869026,0.00797221808788178,-0.292454662177761,0.113632237875564,0.0137747324582216,0.0260680384452005,-8.18404414951182,-0.00055392599346181,0.992664490105419,75028,Most irregular,4
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa4,SA4,3,high_irregularity,estimated,-0.450574035008149,0.094386245510445,0.0000559512551401719,-0.433320612488314,0.0972658163026556,0.000131643411058977,0.0172534225198346,-3.82920922629787,0.00287957079221064,0.962567041359328,75029,Most irregular,4
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,high_irregularity,estimated,-0.182091502548882,0.00389355768197055,0,-0.186550299943269,0.00389827699818779,0,-0.00445879739438659,2.44865758806601,0.00000471931621723667,,10213,Most irregular,4
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa3,SA3,2,high_irregularity,estimated,-0.0337706743482623,0.0800736464398921,0.675469064390168,-0.256238670736787,0.130165867281888,0.0559611523474283,-0.222467996388524,658.760894420728,0.0500922208419956,0.994049558495349,10211,Most irregular,4
cbd,CBD distance,primary,1,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,high_irregularity,estimated,-0.458441902163722,0.0872289813644291,0.0000171382415205969,-0.515547621699371,0.0609853931230818,0.0000000061924989619028,-0.0571057195356485,12.456479057897,-0.0262435882413473,0.968726397452837,10213,Most irregular,4
